SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER,FACE VALUE
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-Jan-1996,INE495A01022,2
DAMODARIND,Damodar Industries Limited,BE,04-Jul-2016,INE497D01022,5
DANGEE,Dangee Dums Limited,EQ,13-Nov-2020,INE688Y01014,10
DATAMATICS,Datamatics Global Services Limited,EQ,07-May-2004,INE365B01017,5
DBCORP,D.B.Corp Limited,EQ,06-Jan-2010,INE950I01011,10
DBL,Dilip Buildcon Limited,EQ,11-Aug-2016,INE917M01012,10
DBREALTY,D B Realty Limited,EQ,24-Feb-2010,INE879I01012,10
DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,29-Feb-2012,INE921B01025,2
DCAL,Dishman Carbogen Amcis Limited,EQ,21-Sep-2017,INE385W01011,2
DCBBANK,DCB Bank Limited,EQ,27-Oct-2006,INE503A01015,10
DCM,DCM  Limited,EQ,29-Mar-1995,INE498A01018,10
DCMFINSERV,DCM Financial Services Limited,BE,21-May-1997,INE891B01012,10
DCMNVL,DCM Nouvelle Limited,EQ,16-Jul-2019,INE08KP01019,10
DCMSHRIRAM,DCM Shriram Limited,EQ,12-Apr-1995,INE499A01024,2
DCW,DCW Limited,EQ,25-May-1995,INE500A01029,2
DECCANCE,Deccan Cements Limited,EQ,02-Aug-2007,INE583C01021,5
DEEPAKFERT,Deepak Fertilizers And Petrochemicals Corporation Limited,BE,17-Jan-2003,INE501A01019,10
DEEPAKNTR,Deepak Nitrite Limited,EQ,29-Sep-2010,INE288B01029,2
DEEPENR,DEEP ENERGY RESOURCES LIMITED,BE,09-Mar-2010,INE677H01012,10
DEEPINDS,Deep Industries Limited,EQ,27-Apr-2021,INE0FHS01016,10
DELTACORP,Delta Corp Limited,EQ,02-Nov-2007,INE124G01033,1
DELTAMAGNT,Delta Manufacturing Limited,EQ,18-Oct-1995,INE393A01011,10
DEN,Den Networks Limited,EQ,24-Nov-2009,INE947J01015,10
DENORA,De Nora India Limited,EQ,07-Aug-1997,INE244A01016,10
DFMFOODS,DFM Foods Limited,EQ,29-Dec-2016,INE456C01020,2
DGCONTENT,Digicontent Limited,BE,18-Jun-2019,INE03JI01017,2
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-Mar-1995,INE041A01016,10
DHANBANK,Dhanlaxmi Bank Limited,EQ,01-Apr-2004,INE680A01011,10
DHANI,Dhani Services Limited,EQ,02-Apr-2008,INE274G01010,2
DHANUKA,Dhanuka Agritech Limited,EQ,29-Jun-2011,INE435G01025,2
DHARSUGAR,Dharani Sugars & Chemicals Limited,BE,22-May-1996,INE988C01014,10
DHUNINV,Dhunseri Investments Limited,EQ,18-Mar-2011,INE320L01011,10
DIAMONDYD,Prataap Snacks Limited,EQ,05-Oct-2017,INE393P01035,5
DIAPOWER,Diamond Power Infra Ltd,BZ,29-Sep-2010,INE989C01012,10
DICIND,DIC India Limited,EQ,30-Aug-1995,INE303A01010,10
DIGISPICE,DiGiSPICE Technologies Limited,BE,27-May-2008,INE927C01020,3
DISHTV,Dish TV India Limited,EQ,18-Apr-2007,INE836F01026,1
DIVISLAB,Divi's Laboratories Limited,EQ,12-Mar-2003,INE361B01024,2
DIXON,Dixon Technologies (India) Limited,EQ,18-Sep-2017,INE935N01020,2
DLF,DLF Limited,EQ,05-Jul-2007,INE271C01023,2
DLINKINDIA,D-Link (India) Limited,EQ,18-Dec-2009,INE250K01012,2
DMART,Avenue Supermarts Limited,EQ,21-Mar-2017,INE192R01011,10
DNAMEDIA,Diligent Media Corporation Limited,EQ,11-Dec-2017,INE016M01021,1
DODLA,Dodla Dairy Limited,EQ,28-Jun-2021,INE021O01019,10
DOLAT,Dolat Investments Limited,EQ,19-Aug-2019,INE966A01022,1
DOLLAR,Dollar Industries Limited,EQ,21-Apr-2017,INE325C01035,2
DONEAR,Donear Industries Limited,EQ,20-Dec-2006,INE668D01028,2
DPABHUSHAN,D. P. Abhushan Limited,EQ,03-Nov-2020,INE266Y01019,10
DPSCLTD,DPSC Limited,EQ,21-Apr-2008,INE360C01024,1
DPWIRES,D P Wires Limited,EQ,17-Jan-2020,INE864X01013,10
DRCSYSTEMS,DRC Systems India Limited,EQ,10-Mar-2021,INE03RS01019,10
DREDGECORP,Dredging Corporation of India Limited,EQ,15-Jan-2004,INE506A01018,10
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-May-2003,INE089A01023,5
DSSL,Dynacons Systems & Solutions Limited,EQ,01-Dec-2011,INE417B01040,10
DTIL,Dhunseri Tea & Industries Limited,EQ,20-Jan-2015,INE341R01014,10
DUCON,Ducon Infratechnologies Limited,BE,09-Oct-2012,INE741L01018,1
DVL,Dhunseri Ventures Limited,EQ,11-Jan-2008,INE477B01010,10
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-Dec-2004,INE366A01041,1
DYNAMATECH,Dynamatic Technologies Limited,EQ,14-Sep-2006,INE221B01012,10
DYNPRO,Dynemic Products Limited,EQ,19-Jul-2017,INE256H01015,10
EASEMYTRIP,Easy Trip Planners Limited,EQ,19-Mar-2021,INE07O001018,2
EASTSILK,Eastern Silk Industries Limited,EQ,03-Jul-1996,INE962C01027,2
EASUNREYRL,Easun Reyrolle Limited,BZ,23-Jul-1997,INE268C01029,2
EBIXFOREX,EBIXCASH WORLD MONEY INDIA LIMITED,EQ,28-Jun-2011,INE726L01019,10
ECLERX,eClerx Services Limited,BE,31-Dec-2007,INE738I01010,10
EDELWEISS,Edelweiss Financial Services Limited,EQ,12-Dec-2007,INE532F01054,1
EDUCOMP,Educomp Solutions Limited,BZ,13-Jan-2006,INE216H01027,2
EICHERMOT,Eicher Motors Limited,EQ,07-Sep-2004,INE066A01021,1
EIDPARRY,EID Parry India Limited,EQ,10-May-1995,INE126A01031,1
EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-Apr-2008,INE276C01014,10
EIHOTEL,EIH Limited,EQ,08-Feb-1995,INE230A01023,2
EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-Apr-1996,INE158B01016,10
EKC,Everest Kanto Cylinder Limited,BE,15-Dec-2005,INE184H01027,2
ELECON,Elecon Engineering Company Limited,EQ,29-Sep-2006,INE205B01023,2
ELECTCAST,Electrosteel Castings Limited,EQ,20-Jun-2003,INE086A01029,1
ELECTHERM,Electrotherm (India) Limited,EQ,20-Aug-2007,INE822G01016,10
ELGIEQUIP,Elgi Equipments Limited,EQ,22-Nov-1995,INE285A01027,1
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-Aug-2011,INE819L01012,1
EMAMILTD,Emami Limited,EQ,03-Aug-2006,INE548C01032,1
EMAMIPAP,Emami Paper Mills Limited,EQ,30-May-2019,INE830C01026,2
EMAMIREAL,Emami Realty Limited,EQ,28-Jul-2010,INE778K01012,2
EMCO,Emco Limited,BZ,15-Dec-2005,INE078A01026,2
EMKAY,Emkay Global Financial Services Limited,EQ,28-Apr-2006,INE296H01011,10
EMMBI,Emmbi Industries Limited,EQ,24-Feb-2010,INE753K01015,10
ENDURANCE,Endurance Technologies Limited,EQ,19-Oct-2016,INE913H01037,10
ENERGYDEV,Energy Development Company Limited,EQ,02-Nov-2007,INE306C01019,10
ENGINERSIN,Engineers India Limited,EQ,20-Aug-1997,INE510A01028,5
ENIL,Entertainment Network (India) Limited,EQ,15-Feb-2006,INE265F01028,10
EPL,EPL Limited,EQ,11-Feb-2002,INE255A01020,2
EQUITAS,Equitas Holdings Limited,EQ,21-Apr-2016,INE988K01017,10
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-Nov-2020,INE063P01018,10
ERIS,Eris Lifesciences Limited,EQ,29-Jun-2017,INE406M01024,1
EROSMEDIA,Eros International Media Limited,EQ,06-Oct-2010,INE416L01017,10
ESABINDIA,Esab India Limited,EQ,01-Nov-1995,INE284A01012,10
ESCORTS,Escorts Limited,EQ,01-Mar-1995,INE042A01014,10
ESSARSHPNG,Essar Shipping Limited,EQ,15-Nov-2011,INE122M01019,10
ESTER,Ester Industries Limited,EQ,20-Jun-2011,INE778B01029,5
EVEREADY,Eveready Industries India Limited,EQ,27-Apr-2005,INE128A01029,5
EVERESTIND,Everest Industries Limited,EQ,29-Mar-1995,INE295A01018,10
EXCEL,Excel Realty N Infra Limited,BE,03-Aug-2009,INE688J01015,10
EXCELINDUS,Excel Industries Limited,EQ,16-Jun-2004,INE369A01029,5
EXIDEIND,Exide Industries Limited,EQ,17-Jun-2003,INE302A01020,1
EXPLEOSOL,Expleo Solutions Limited,BE,26-Oct-2009,INE201K01015,10
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-Apr-1995,INE188A01015,10
FAIRCHEMOR,Fairchem Organics Limited,EQ,24-Dec-2020,INE0DNW01011,10
FCL,Fineotex Chemical Limited,EQ,15-Jan-2015,INE045J01026,2
FCONSUMER,Future Consumer Limited,EQ,04-Jul-2013,INE220J01025,6
FCSSOFT,FCS Software Solutions Limited,BE,21-Sep-2005,INE512B01022,1
FDC,FDC Limited,EQ,07-Aug-1997,INE258B01022,1
FEDERALBNK,The Federal Bank  Limited,EQ,08-Feb-1995,INE171A01029,2
FEL,Future Enterprises Limited,EQ,05-Nov-2001,INE623B01027,2
FELDVR,Future Enterprises Limited,EQ,13-Feb-2009,IN9623B01058,2
FIEMIND,Fiem Industries Limited,EQ,19-Oct-2006,INE737H01014,10
FILATEX,Filatex India Limited,EQ,29-Aug-2011,INE816B01027,2
FINCABLES,Finolex Cables Limited,EQ,15-Feb-1995,INE235A01022,2
FINEORG,Fine Organic Industries Limited,EQ,02-Jul-2018,INE686Y01026,5
FINPIPE,Finolex Industries Limited,EQ,08-Feb-1995,INE183A01024,2
FLEXITUFF,Flexituff Ventures International Limited,EQ,19-Oct-2011,INE060J01017,10
FLFL,Future Lifestyle Fashions Limited,EQ,01-Oct-2013,INE452O01016,2
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-Oct-2019,INE09N301011,1
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-Feb-1995,INE529A01010,10
FMNL,Future Market Networks Limited,EQ,31-Dec-2010,INE360L01017,10
FORCEMOT,FORCE MOTORS LTD,EQ,03-Nov-1994,INE451A01017,10
FORTIS,Fortis Healthcare Limited,EQ,09-May-2007,INE061F01013,10
FOSECOIND,Foseco India Limited,EQ,05-May-2003,INE519A01011,10
FRETAIL,Future Retail Limited,EQ,29-Aug-2016,INE752P01024,2
FSC,Future Supply Chain Solutions Limited,EQ,18-Dec-2017,INE935Q01015,10
FSL,Firstsource Solutions Limited,EQ,22-Feb-2007,INE684F01012,10
GABRIEL,Gabriel India Limited,EQ,20-Apr-2005,INE524A01029,1
GAEL,Gujarat Ambuja Exports Limited,EQ,11-Oct-2000,INE036B01030,1
GAIL,GAIL (India) Limited,EQ,02-Apr-1997,INE129A01019,10
GAL,Gyscoal Alloys Limited,EQ,27-Oct-2010,INE482J01021,1
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-Feb-2018,INE600K01018,10
GALLANTT,Gallantt Metal Limited,EQ,04-Apr-2006,INE297H01019,10
GALLISPAT,Gallantt Ispat Limited,EQ,11-Oct-2010,INE528K01029,1
GAMMNINFRA,Gammon Infrastructure Projects Limited,BE,03-Apr-2008,INE181G01025,2
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-Jan-2007,INE524B01027,5
GANECOS,Ganesha Ecosphere Limited,EQ,09-Mar-2015,INE845D01014,10
GANESHHOUC,Ganesh Housing Corporation Limited,EQ,02-Mar-2007,INE460C01014,10
GANGAFORGE,Ganga Forging Limited,EQ,06-Jul-2021,INE691Z01015,10
GANGESSECU,Ganges Securities Limited,EQ,28-Jul-2017,INE335W01016,10
GARFIBRES,Garware Technical Fibres Limited,EQ,03-Apr-2007,INE276A01018,10
GATI,GATI Limited,EQ,10-Oct-2006,INE152B01027,2
GAYAPROJ,Gayatri Projects Limited,EQ,22-Aug-2011,INE336H01023,2
GDL,Gateway Distriparks Limited,BE,31-Mar-2005,INE852F01015,10
GEECEE,GeeCee Ventures Limited,EQ,04-Oct-2006,INE916G01016,10
GEEKAYWIRE,Geekay Wires Limited,EQ,06-Mar-2020,INE669X01016,10
GENCON,Generic Engineering Construction and Projects Limited,EQ,16-Feb-2021,INE854S01022,5
GENESYS,Genesys International Corporation Limited,EQ,23-Jan-2003,INE727B01026,5
GENUSPAPER,Genus Paper & Boards Limited,BE,16-Feb-2015,INE949P01018,1
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-Jul-2005,INE955D01029,1
GEOJITFSL,Geojit Financial Services Limited,EQ,01-Jul-2005,INE007B01023,1
GEPIL,GE Power India Limited,EQ,19-Apr-2000,INE878A01011,10
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-Nov-2006,INE017A01032,10
GET&D,GE T&D India Limited,EQ,30-Jun-2008,INE200A01026,2
GFLLIMITED,GFL Limited,EQ,25-May-1995,INE538A01037,1
GFSTEELS,Grand Foundry Limited,BE,22-Jul-2019,INE534A01028,4
GHCL,GHCL Limited,EQ,31-Jul-2003,INE539A01019,10
GICHSGFIN,GIC Housing Finance Limited,EQ,08-May-1996,INE289B01019,10
GICRE,General Insurance Corporation of India,EQ,25-Oct-2017,INE481Y01014,5
GILLANDERS,Gillanders Arbuthnot & Company Limited,BE,14-Dec-2009,INE047B01011,10
GILLETTE,Gillette India Limited,EQ,30-Jul-2003,INE322A01010,10
GINNIFILA,Ginni Filaments Limited,EQ,10-May-1995,INE424C01010,10
GIPCL,Gujarat Industries Power Company Limited,EQ,08-Feb-1995,INE162A01010,10
GKWLIMITED,GKW Limited,EQ,20-Jul-2009,INE528A01020,10
GLAND,Gland Pharma Limited,EQ,20-Nov-2020,INE068V01023,1
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-Dec-2000,INE159A01016,10
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-Feb-2000,INE935A01035,1
GLFL,Gujarat Lease Financing Limited,EQ,08-Feb-1995,INE540A01017,10
GLOBAL,Global Education Limited,EQ,07-Dec-2020,INE291W01011,10
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-Oct-2006,INE792H01019,10
GLOBE,Globe Textiles (India) Limited,BE,07-Oct-2020,INE581X01013,10
GLOBUSSPR,Globus Spirits Limited,BE,23-Sep-2009,INE615I01010,10
GMBREW,GM Breweries Limited,EQ,23-Aug-1995,INE075D01018,10
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-Dec-1997,INE131A01031,2
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-Mar-2018,INE541A01023,2
GMRINFRA,GMR Infrastructure Limited,EQ,21-Aug-2006,INE776C01039,1
GNA,GNA Axles Limited,EQ,26-Sep-2016,INE934S01014,10
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-May-1995,INE113A01013,10
GOACARBON,Goa Carbon Limited,EQ,05-Jun-2007,INE426D01013,10
GOCLCORP,GOCL Corporation Limited,EQ,26-Jun-2014,INE077F01035,2
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-Jul-1996,INE260B01028,2
GODHA,Godha Cabcon & Insulation Limited,BE,24-Dec-2020,INE925Y01010,10
GODREJAGRO,Godrej Agrovet Limited,EQ,16-Oct-2017,INE850D01014,10
GODREJCP,Godrej Consumer Products Limited,EQ,20-Jun-2001,INE102D01028,1
GODREJIND,Godrej Industries Limited,EQ,25-Feb-2003,INE233A01035,1
GODREJPROP,Godrej Properties Limited,EQ,05-Jan-2010,INE484J01027,5
GOENKA,Goenka Diamond and Jewels Limited,BZ,16-Apr-2010,INE516K01024,1
GOKEX,Gokaldas Exports Limited,EQ,27-Apr-2005,INE887G01027,5
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-Jun-2008,INE020J01029,2
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-Mar-2016,INE314T01025,2
GOLDENTOBC,Golden Tobacco Limited,EQ,08-Feb-1995,INE973A01010,10
GOLDIAM,Goldiam International Limited,EQ,29-Aug-2005,INE025B01017,10
GOLDTECH,Goldstone Technologies Limited,EQ,11-Apr-2001,INE805A01014,10
GOODLUCK,Goodluck India Limited,EQ,08-Jan-2015,INE127I01024,2
GOODYEAR,Goodyear India Limited,EQ,28-Dec-1994,INE533A01012,10
GPIL,Godawari Power And Ispat limited,BE,25-Apr-2006,INE177H01013,10
GPPL,Gujarat Pipavav Port Limited,EQ,09-Sep-2010,INE517F01014,10
GPTINFRA,GPT Infraprojects Limited,EQ,11-Jul-2016,INE390G01014,10
GRANULES,Granules India Limited,EQ,20-Jun-2005,INE101D01020,1
GRAPHITE,Graphite India Limited,EQ,07-Feb-2003,INE371A01025,2
GRASIM,Grasim Industries Limited,EQ,10-May-1995,INE047A01021,2
GRAVITA,Gravita India Limited,EQ,16-Nov-2010,INE024L01027,2
GREAVESCOT,Greaves Cotton Limited,EQ,09-Sep-2004,INE224A01026,2
GREENLAM,Greenlam Industries Limited,EQ,02-Mar-2015,INE544R01013,5
GREENPANEL,Greenpanel Industries Limited,BE,23-Oct-2019,INE08ZM01014,1
GREENPLY,Greenply Industries Limited,EQ,06-Mar-1996,INE461C01038,1
GREENPOWER,Orient Green Power Company Limited,EQ,08-Oct-2010,INE999K01014,10
GRINDWELL,Grindwell Norton Limited,EQ,11-Sep-2006,INE536A01023,5
GRINFRA,G R Infraprojects Limited,EQ,19-Jul-2021,INE201P01022,5
GROBTEA,The Grob Tea Company Limited,EQ,14-Jul-2016,INE646C01018,10
GRPLTD,GRP Limited,EQ,12-Feb-2015,INE137I01015,10
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-Oct-2018,INE382Z01011,10
GSCLCEMENT,Gujarat Sidhee Cement Limited,EQ,15-May-2013,INE542A01039,10
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-Sep-1995,INE026A01025,2
GSPL,Gujarat State Petronet Limited,EQ,16-Feb-2006,INE246F01010,10
GSS,GSS Infotech Limited,EQ,07-Mar-2008,INE871H01011,10
GTL,GTL Limited,BE,29-Mar-1995,INE043A01012,10
GTLINFRA,GTL Infrastructure Limited,BE,09-Nov-2006,INE221H01019,10
GTNTEX,GTN Textiles Limited,EQ,18-May-2006,INE302H01017,10
GTPL,GTPL Hathway Limited,EQ,04-Jul-2017,INE869I01013,10
GUFICBIO,Gufic Biosciences Limited,EQ,19-Oct-2004,INE742B01025,1
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-Aug-1997,INE186A01019,10
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,04-Jun-2007,INE826C01016,10
GUJGASLTD,Gujarat Gas Limited,EQ,15-Sep-2015,INE844O01030,2
GUJRAFFIA,Gujarat Raffia Industries Limited,BE,09-Oct-1996,INE610B01024,10
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-Jul-2014,INE635Q01029,2
GULFPETRO,GP Petroleums Limited,EQ,24-Sep-2004,INE586G01017,5
GULPOLY,Gulshan Polyols Limited,BE,28-Jan-2015,INE255D01024,1
HAL,Hindustan Aeronautics Limited,EQ,28-Mar-2018,INE066F01012,10
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-Sep-2020,INE419U01012,2
HARRMALAYA,Harrisons  Malayalam Limited,EQ,08-Feb-1995,INE544A01019,10
HATHWAY,Hathway Cable & Datacom Limited,EQ,25-Feb-2010,INE982F01036,2
HATSUN,Hatsun Agro Product Limited,EQ,20-Jun-2014,INE473B01035,1
HAVELLS,Havells India Limited,EQ,21-Mar-2001,INE176B01034,1
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,BE,16-Feb-2000,INE293B01029,2
HBLPOWER,HBL Power Systems Limited,EQ,04-Jan-2007,INE292B01021,1
HBSL,HB Stockholdings Limited,EQ,23-Jul-2018,INE550B01022,10
HCC,Hindustan Construction Company Limited,EQ,01-Apr-2003,INE549A01026,1
HCG,Healthcare Global Enterprises Limited,EQ,30-Mar-2016,INE075I01017,10
HCL-INSYS,HCL Infosystems Limited,EQ,01-Jan-1997,INE236A01020,2
HCLTECH,HCL Technologies Limited,EQ,06-Jan-2000,INE860A01027,2
HDFC,Housing Development Finance Corporation Limited,EQ,23-Oct-1996,INE001A01036,2
HDFCAMC,HDFC Asset Management Company Limited,EQ,06-Aug-2018,INE127D01025,5
HDFCBANK,HDFC Bank Limited,EQ,08-Nov-1995,INE040A01034,1
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-Nov-2017,INE795G01014,10
HDIL,Housing Development and Infrastructure Limited,BZ,24-Jul-2007,INE191I01012,10
HEG,HEG Limited,EQ,10-May-1995,INE545A01016,10
HEIDELBERG,HeidelbergCement India Limited,EQ,15-Mar-1995,INE578A01017,10
HEMIPROP,Hemisphere Properties India Limited,EQ,22-Oct-2020,INE0AJG01018,10
HERANBA,Heranba Industries Limited,EQ,05-Mar-2021,INE694N01015,10
HERCULES,Hercules Hoists Limited,EQ,19-Feb-2008,INE688E01024,1
HERITGFOOD,Heritage Foods Limited,EQ,27-Nov-1996,INE978A01027,5
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-Apr-2003,INE158A01026,2
HESTERBIO,Hester Biosciences Limited,EQ,13-Mar-2015,INE782E01017,10
HEXATRADEX,Hexa Tradex Limited,EQ,20-Apr-2012,INE750M01017,2
HFCL,HFCL Limited,BE,09-Mar-2011,INE548A01028,1
HGINFRA,H.G. Infra Engineering Limited,EQ,09-Mar-2018,INE926X01010,10
HGS,Hinduja Global Solutions Limited,BE,19-Jun-2007,INE170I01016,10
HIKAL,Hikal Limited,EQ,14-Feb-2001,INE475B01022,2
HIL,HIL Limited,EQ,26-Apr-1995,INE557A01011,10
HILTON,Hilton Metal Forging Limited,EQ,24-May-2007,INE788H01017,10
HIMATSEIDE,Himatsingka Seide Limited,EQ,08-Feb-1995,INE049A01027,5
HINDALCO,Hindalco Industries Limited,EQ,08-Jan-1997,INE038A01020,1
HINDCOMPOS,Hindustan Composites Limited,EQ,08-May-1996,INE310C01029,5
HINDCON,Hindcon Chemicals Limited,EQ,05-Jul-2021,INE642Y01011,10
HINDCOPPER,Hindustan Copper Limited,EQ,15-Sep-2010,INE531E01026,5
HINDMOTORS,Hindustan Motors Limited,EQ,21-Feb-2011,INE253A01025,5
HINDNATGLS,Hindusthan National Glass & Industries Limited,BE,15-Apr-2009,INE952A01022,2
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,23-Sep-2003,INE345A01011,10
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-Jun-1998,INE094A01015,10
HINDUNILVR,Hindustan Unilever Limited,EQ,06-Jul-1995,INE030A01027,1
HINDZINC,Hindustan Zinc Limited,EQ,21-Nov-2006,INE267A01025,2
HIRECT,Hind Rectifiers Limited,EQ,26-Dec-2006,INE835D01023,2
HISARMETAL,Hisar Metal Industries Limited,EQ,05-Jan-2017,INE598C01011,10
HITECH,Hi-Tech Pipes Limited,EQ,07-May-2018,INE106T01017,10
HITECHCORP,Hitech Corporation Limited,EQ,20-Dec-2007,INE120D01012,10
HITECHGEAR,The Hi-Tech Gears Limited,EQ,21-Jan-2002,INE127B01011,10
HLEGLAS,HLE Glascoat Limited,EQ,22-Feb-2021,INE461D01010,10
HLVLTD,HLV LIMITED,EQ,19-Jul-1995,INE102A01024,2
HMT,HMT Limited,BZ,29-Aug-2003,INE262A01018,10
HMVL,Hindustan Media Ventures Limited,EQ,21-Jul-2010,INE871K01015,10
HNDFDS,Hindustan Foods Limited,BE,19-Aug-2019,INE254N01018,10
HOMEFIRST,Home First Finance Company India Limited,EQ,03-Feb-2021,INE481N01025,2
HONAUT,Honeywell Automation India Limited,EQ,18-Jul-2003,INE671A01010,10
HONDAPOWER,Honda India Power Products Limited,EQ,01-Apr-2003,INE634A01018,10
HOTELRUGBY,Hotel Rugby Limited,BE,03-Apr-1996,INE275F01019,10
HOVS,HOV Services Limited,BE,27-Sep-2006,INE596H01014,10
HPL,HPL Electric & Power Limited,EQ,04-Oct-2016,INE495S01016,10
HSCL,Himadri Speciality Chemical Limited,EQ,02-Mar-2007,INE019C01026,1
HSIL,HSIL Limited,EQ,31-May-2000,INE415A01038,2
HTMEDIA,HT Media Limited,EQ,01-Sep-2005,INE501G01024,2
HUBTOWN,Hubtown Limited,EQ,07-Feb-2007,INE703H01016,10
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-May-2017,INE031A01017,10
HUHTAMAKI,Huhtamaki India Limited,EQ,01-Oct-2004,INE275B01026,2
IBREALEST,Indiabulls Real Estate Limited,EQ,23-Mar-2007,INE069I01010,2
IBULHSGFIN,Indiabulls Housing Finance Limited,EQ,23-Jul-2013,INE148I01020,2
ICDSLTD,ICDS Limited,BE,17-Nov-1999,INE613B01010,10
ICEMAKE,Ice Make Refrigeration Limited,EQ,12-Oct-2020,INE520Y01019,10
ICICIBANK,ICICI Bank Limited,EQ,17-Sep-1997,INE090A01021,2
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-Sep-2017,INE765G01017,10
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-Sep-2016,INE726G01019,10
ICIL,Indo Count Industries Limited,EQ,12-Sep-2005,INE483B01026,2
ICRA,ICRA Limited,EQ,13-Apr-2007,INE725G01011,10
IDBI,IDBI Bank Limited,EQ,20-Sep-1995,INE008A01015,10
IDEA,Vodafone Idea Limited,EQ,09-Mar-2007,INE669E01016,10
IDFC,IDFC Limited,EQ,12-Aug-2005,INE043D01016,10
IDFCFIRSTB,IDFC First Bank Limited,EQ,06-Nov-2015,INE092T01019,10
IEX,Indian Energy Exchange Limited,EQ,23-Oct-2017,INE022Q01020,1
IFBAGRO,IFB Agro Industries Limited,EQ,03-Apr-1996,INE076C01018,10
IFBIND,IFB Industries Limited,EQ,29-Mar-1995,INE559A01017,10
IFCI,IFCI Limited,EQ,26-Apr-1995,INE039A01010,10
IFGLEXPOR,IFGL Refractories Limited,EQ,14-Nov-2017,INE133Y01011,10
IGARASHI,Igarashi Motors India Limited,EQ,09-Oct-2003,INE188B01013,10
IGL,Indraprastha Gas Limited,EQ,26-Dec-2003,INE203G01027,2
IGPL,IG Petrochemicals Limited,EQ,29-Jan-2007,INE204A01010,10
IIFL,IIFL Finance Limited,BE,17-May-2005,INE530B01024,2
IIFLSEC,IIFL Securities Limited,EQ,20-Sep-2019,INE489L01022,2
IIFLWAM,Iifl Wealth Management Limited,EQ,19-Sep-2019,INE466L01020,2
IITL,Industrial Investment Trust Limited,EQ,17-Aug-2010,INE886A01014,10
IL&FSENGG,IL&FS Engineering and Construction Company Limited,BZ,25-Oct-2007,INE369I01014,10
IL&FSTRANS,IL&FS Transportation Networks Limited,BZ,30-Mar-2010,INE975G01012,10
IMAGICAA,Imagicaaworld Entertainment Limited,EQ,06-Apr-2015,INE172N01012,10
IMFA,Indian Metals & Ferro Alloys Limited,EQ,23-Jul-2010,INE919H01018,10
IMPAL,India Motor Parts and Accessories Limited,EQ,07-Oct-2005,INE547E01014,10
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,BE,01-Jul-2016,INE452L01012,10
INDBANK,Indbank Merchant Banking Services Limited,EQ,08-Oct-2008,INE841B01017,10
INDHOTEL,The Indian Hotels Company Limited,EQ,03-Jul-1996,INE053A01029,1
INDIACEM,The India Cements Limited,EQ,31-May-2000,INE383A01012,10
INDIAGLYCO,India Glycols Limited,EQ,01-Jul-2005,INE560A01015,10
INDIAMART,Indiamart Intermesh Limited,EQ,04-Jul-2019,INE933S01016,10
INDIANB,Indian Bank,EQ,01-Mar-2007,INE562A01011,10
INDIANCARD,Indian Card Clothing Company Limited,BE,08-Jan-1997,INE061A01014,10
